;UAI;Presents2018;Reussite2018;Mentions2018;Presents2019;Reussite2019;Mentions2019;Presents2020;Reussite2020;Mentions2020;Presents2021;Reussite2021;Mentions2021;Presents2022;Reussite2022;Mentions2022;Presents2023;Reussite2023;Mentions2023;Presents2024;Reussite2024;Mentions2024
0;0010013J;198.0;95.0;65.0;181.0;97.0;65.0;188.0;96.0;73.0;353;98;73.0;318;98.0;69.0;339;98.0;75.0;330;99.0;81.0
1;0010016M;133.0;90.0;52.0;102.0;89.0;50.0;123.0;99.0;66.0;457;96;68.0;475;95.0;56.0;470;94.0;55.0;476;94.0;49.0
2;0011119L;107.0;93.0;64.0;98.0;91.0;52.0;91.0;97.0;65.0;237;97;65.0;216;96.0;64.0;251;98.0;71.0;203;98.0;66.0
3;0011194T;159.0;92.0;58.0;168.0;92.0;64.0;154.0;99.0;75.0;493;97;62.0;487;94.0;63.0;511;96.0;58.0;521;98.0;64.0
4;0020012C;42.0;93.0;26.0;67.0;87.0;37.0;70.0;99.0;69.0;310;95;61.0;258;95.0;57.0;276;92.0;52.0;249;92.0;52.0
5;0020031Y;66.0;85.0;61.0;64.0;84.0;42.0;65.0;95.0;49.0;166;94;64.0;177;89.0;56.0;170;95.0;50.0;185;92.0;57.0
6;0020059D;97.0;95.0;62.0;112.0;93.0;57.0;106.0;98.0;63.0;287;99;73.0;316;96.0;64.0;299;91.0;56.0;297;94.0;50.0
7;0021476U;81.0;90.0;40.0;54.0;96.0;50.0;59.0;90.0;53.0;135;97;55.0;118;94.0;55.0;106;86.0;35.0;132;87.0;45.0
8;0021874B;58.0;100.0;78.0;41.0;93.0;83.0;39.0;100.0;82.0;132;99;77.0;115;98.0;76.0;148;97.0;63.0;150;95.0;59.0
9;0022042J;;;;;;;;;;25;68;36.0;31;81.0;23.0;28;89.0;54.0;;;
10;0030038A;40.0;88.0;35.0;37.0;89.0;38.0;50.0;94.0;52.0;165;95;56.0;141;89.0;50.0;171;92.0;42.0;182;88.0;38.0
11;0030051P;204.0;88.0;49.0;167.0;88.0;44.0;172.0;97.0;67.0;465;96;60.0;498;95.0;56.0;512;95.0;55.0;543;96.0;55.0
12;0040490L;98.0;99.0;80.0;102.0;97.0;78.0;90.0;100.0;92.0;165;99;82.0;198;98.0;77.0;175;97.0;68.0;175;94.0;64.0
13;0050007F;123.0;85.0;46.0;102.0;87.0;51.0;119.0;99.0;66.0;350;98;75.0;305;98.0;68.0;311;96.0;67.0;328;99.0;72.0
14;0060013G;55.0;80.0;20.0;60.0;72.0;8.0;51.0;88.0;41.0;297;96;59.0;298;88.0;45.0;307;90.0;42.0;310;86.0;32.0
15;0060014H;150.0;95.0;74.0;175.0;99.0;79.0;162.0;100.0;94.0;293;98;85.0;291;96.0;72.0;283;98.0;74.0;301;95.0;64.0
16;0060034E;;;;;;;;;;56;100;75.0;67;100.0;60.0;65;94.0;43.0;71;99.0;63.0
17;0060673Z;75.0;100.0;84.0;75.0;100.0;84.0;93.0;100.0;96.0;210;100;91.0;166;100.0;90.0;183;100.0;93.0;198;100.0;90.0
18;0061760F;122.0;93.0;55.0;122.0;88.0;41.0;122.0;99.0;79.0;306;96;63.0;330;92.0;55.0;291;91.0;52.0;308;96.0;56.0
19;0061884R;123.0;93.0;64.0;137.0;93.0;73.0;119.0;100.0;71.0;318;98;76.0;316;96.0;70.0;319;98.0;66.0;338;99.0;71.0
20;0062089N;58.0;78.0;36.0;73.0;92.0;41.0;59.0;100.0;61.0;203;94;67.0;282;94.0;48.0;233;95.0;52.0;208;95.0;58.0
21;0070003R;60.0;90.0;50.0;80.0;79.0;40.0;94.0;91.0;56.0;239;97;66.0;280;95.0;59.0;231;93.0;60.0;236;95.0;61.0
22;0070071P;58.0;95.0;60.0;71.0;100.0;66.0;54.0;100.0;78.0;161;99;73.0;149;99.0;67.0;143;99.0;64.0;185;99.0;68.0
23;0071351F;54.0;94.0;46.0;61.0;100.0;56.0;65.0;95.0;69.0;124;98;71.0;117;92.0;61.0;132;90.0;54.0;117;93.0;62.0
24;0080039Z;76.0;83.0;33.0;75.0;87.0;40.0;60.0;100.0;45.0;185;98;67.0;164;96.0;62.0;173;93.0;51.0;195;92.0;58.0
25;0090002D;79.0;97.0;70.0;87.0;99.0;59.0;72.0;99.0;83.0;245;99;75.0;264;98.0;63.0;269;97.0;63.0;268;97.0;61.0
26;0090013R;45.0;96.0;60.0;43.0;95.0;58.0;45.0;98.0;71.0;132;99;77.0;144;96.0;55.0;115;99.0;66.0;126;94.0;53.0
27;0100022V;128.0;94.0;59.0;116.0;89.0;38.0;108.0;99.0;63.0;299;96;60.0;289;94.0;54.0;286;93.0;48.0;309;93.0;49.0
28;0100023W;90.0;90.0;48.0;73.0;90.0;51.0;106.0;97.0;68.0;404;91;58.0;394;90.0;51.0;404;91.0;47.0;400;91.0;48.0
29;0100047X;60.0;95.0;63.0;57.0;93.0;49.0;65.0;97.0;74.0;103;99;82.0;125;99.0;70.0;120;99.0;78.0;112;99.0;88.0
30;0110004V;177.0;89.0;51.0;139.0;96.0;60.0;143.0;99.0;80.0;440;96;68.0;415;95.0;63.0;442;91.0;60.0;413;95.0;61.0
31;0110007Y;116.0;95.0;59.0;117.0;91.0;60.0;91.0;99.0;80.0;301;90;60.0;366;94.0;55.0;253;91.0;59.0;268;93.0;58.0
32;0120006S;41.0;100.0;85.0;23.0;100.0;70.0;40.0;100.0;95.0;135;99;81.0;114;97.0;62.0;125;100.0;74.0;120;98.0;68.0
33;0120031U;46.0;98.0;76.0;57.0;100.0;61.0;45.0;100.0;82.0;99;100;79.0;96;97.0;68.0;115;97.0;58.0;113;99.0;65.0
34;0120059Z;30.0;93.0;47.0;17.0;100.0;53.0;15.0;100.0;53.0;65;98;65.0;50;94.0;58.0;53;96.0;66.0;63;98.0;63.0
35;0130002G;254.0;91.0;50.0;252.0;89.0;50.0;241.0;99.0;66.0;564;96;65.0;500;95.0;62.0;511;96.0;65.0;515;97.0;72.0
36;0130011S;135.0;80.0;33.0;117.0;83.0;37.0;128.0;99.0;52.0;294;97;66.0;338;90.0;50.0;286;94.0;55.0;292;93.0;60.0
37;0130042A;104.0;81.0;25.0;106.0;80.0;24.0;87.0;100.0;61.0;243;98;62.0;237;95.0;59.0;237;97.0;55.0;228;94.0;60.0
38;0130048G;114.0;77.0;25.0;109.0;70.0;17.0;134.0;92.0;46.0;478;92;41.0;483;81.0;31.0;499;83.0;28.0;486;83.0;33.0
39;0130053M;153.0;88.0;35.0;156.0;82.0;34.0;160.0;97.0;59.0;319;96;60.0;315;90.0;47.0;335;93.0;48.0;320;90.0;46.0
40;0130175V;103.0;85.0;39.0;101.0;87.0;46.0;104.0;99.0;66.0;255;95;58.0;253;92.0;51.0;251;93.0;50.0;297;98.0;62.0
41;0131333D;45.0;96.0;64.0;50.0;98.0;58.0;49.0;100.0;92.0;104;100;92.0;104;100.0;87.0;109;100.0;91.0;105;100.0;92.0
42;0131339K;51.0;100.0;92.0;48.0;100.0;81.0;46.0;100.0;85.0;132;99;86.0;121;99.0;84.0;126;98.0;79.0;124;99.0;85.0
43;0131348V;95.0;100.0;80.0;68.0;97.0;78.0;76.0;100.0;96.0;128;100;97.0;141;99.0;95.0;115;100.0;90.0;135;100.0;88.0
44;0131398Z;;;;;;;;;;30;100;67.0;33;91.0;42.0;27;89.0;48.0;23;100.0;39.0
45;0132922F;;;;;;;;;;;;;;;;;;;;;
46;0133015G;102.0;86.0;46.0;96.0;92.0;52.0;114.0;98.0;61.0;360;98;68.0;324;95.0;56.0;337;93.0;52.0;341;95.0;64.0
47;0133396W;24.0;83.0;46.0;23.0;70.0;9.0;25.0;96.0;40.0;37;92;54.0;40;95.0;58.0;43;98.0;67.0;42;90.0;38.0
48;0133424B;;;;;;;;;;23;100;70.0;25;96.0;28.0;32;88.0;22.0;31;94.0;32.0
49;0133425C;;;;;;;;;;59;98;64.0;58;97.0;59.0;57;93.0;49.0;62;98.0;66.0
50;0133555U;38.0;95.0;50.0;23.0;100.0;52.0;37.0;100.0;89.0;55;100;73.0;49;100.0;82.0;47;98.0;66.0;50;100.0;50.0
51;0134003F;113.0;86.0;50.0;109.0;77.0;24.0;102.0;98.0;63.0;256;97;68.0;296;92.0;48.0;319;92.0;53.0;308;95.0;57.0
52;0140056K;48.0;92.0;48.0;35.0;86.0;34.0;46.0;100.0;85.0;122;98;77.0;111;99.0;65.0;107;98.0;60.0;127;93.0;61.0
53;0140061R;102.0;92.0;60.0;89.0;96.0;66.0;97.0;96.0;80.0;234;97;71.0;210;96.0;65.0;233;95.0;64.0;217;94.0;69.0
54;0141157G;40.0;93.0;70.0;49.0;98.0;37.0;49.0;100.0;65.0;109;100;66.0;83;98.0;72.0;104;98.0;75.0;95;100.0;81.0
55;0141555P;114.0;92.0;60.0;102.0;94.0;49.0;108.0;99.0;67.0;281;97;60.0;260;93.0;58.0;275;93.0;51.0;249;93.0;56.0
56;0142059M;150.0;92.0;69.0;139.0;96.0;65.0;124.0;99.0;82.0;242;97;71.0;238;98.0;70.0;219;97.0;68.0;229;96.0;62.0
57;0142120D;28.0;89.0;46.0;35.0;97.0;51.0;33.0;100.0;73.0;115;95;63.0;77;96.0;66.0;87;92.0;63.0;86;95.0;69.0
58;0150047V;;;;;;;;;;28;100;96.0;32;100.0;75.0;35;100.0;80.0;35;97.0;89.0
59;0160022M;54.0;93.0;44.0;49.0;96.0;55.0;61.0;100.0;61.0;125;97;74.0;137;86.0;45.0;150;93.0;43.0;133;94.0;45.0
60;0170022G;145.0;92.0;65.0;133.0;93.0;61.0;135.0;100.0;87.0;395;97;60.0;415;97.0;62.0;433;95.0;61.0;451;95.0;60.0
61;0170028N;163.0;96.0;77.0;154.0;95.0;73.0;155.0;100.0;88.0;471;98;73.0;474;97.0;67.0;471;97.0;65.0;547;95.0;66.0
62;0171405K;;;;;;;;;;48;96;58.0;45;100.0;56.0;45;98.0;78.0;45;98.0;78.0
63;0171428K;59.0;90.0;54.0;55.0;89.0;45.0;61.0;98.0;69.0;169;99;71.0;178;94.0;56.0;173;98.0;55.0;168;93.0;57.0
64;0180035R;95.0;87.0;44.0;87.0;85.0;46.0;98.0;94.0;55.0;194;94;60.0;205;90.0;55.0;216;95.0;55.0;184;91.0;47.0
65;0190010H;163.0;93.0;46.0;157.0;90.0;43.0;207.0;96.0;66.0;220;99;65.0;255;94.0;56.0;250;93.0;57.0;238;94.0;50.0
66;0190058K;83.0;95.0;71.0;95.0;98.0;48.0;98.0;99.0;61.0;216;99;70.0;169;98.0;66.0;199;95.0;66.0;192;97.0;64.0
67;0210006T;147.0;93.0;55.0;113.0;93.0;47.0;112.0;96.0;66.0;218;99;72.0;218;97.0;67.0;226;97.0;57.0;234;94.0;62.0
68;0211033J;232.0;90.0;55.0;182.0;92.0;54.0;195.0;99.0;73.0;317;99;71.0;302;96.0;63.0;291;95.0;62.0;288;94.0;62.0
69;0211090W;36.0;97.0;33.0;32.0;97.0;59.0;50.0;100.0;56.0;217;98;55.0;160;99.0;62.0;166;96.0;55.0;163;97.0;58.0
70;0211091X;24.0;83.0;17.0;24.0;83.0;38.0;29.0;100.0;72.0;166;99;63.0;189;93.0;37.0;183;97.0;52.0;173;95.0;42.0
71;0212015B;;;;;;;;;;77;92;52.0;85;89.0;54.0;76;84.0;45.0;86;80.0;34.0
72;0220102S;69.0;99.0;74.0;80.0;99.0;71.0;77.0;100.0;82.0;172;99;80.0;177;99.0;76.0;172;100.0;76.0;205;99.0;76.0
73;0221589H;54.0;78.0;26.0;40.0;93.0;53.0;20.0;100.0;85.0;38;100;68.0;37;100.0;70.0;28;100.0;75.0;43;98.0;58.0
74;0230051F;63.0;89.0;59.0;56.0;93.0;54.0;84.0;96.0;63.0;163;93;60.0;161;88.0;50.0;204;98.0;65.0;188;96.0;59.0
75;0240025X;74.0;96.0;54.0;62.0;94.0;65.0;70.0;96.0;51.0;244;97;64.0;253;94.0;45.0;251;93.0;58.0;232;91.0;53.0
76;0250008Y;138.0;91.0;61.0;151.0;92.0;58.0;119.0;96.0;67.0;362;93;64.0;369;95.0;66.0;367;96.0;66.0;373;95.0;68.0
77;0251024C;53.0;98.0;66.0;59.0;92.0;47.0;67.0;100.0;73.0;104;100;89.0;114;100.0;84.0;109;99.0;84.0;96;100.0;88.0
78;0251028G;75.0;95.0;61.0;78.0;96.0;60.0;99.0;100.0;85.0;214;99;81.0;224;99.0;69.0;253;100.0;74.0;273;99.0;72.0
79;0251994G;196.0;95.0;64.0;152.0;93.0;57.0;149.0;97.0;67.0;427;96;58.0;414;94.0;51.0;442;89.0;48.0;478;88.0;41.0
80;0260008T;44.0;100.0;73.0;35.0;94.0;71.0;39.0;100.0;87.0;73;96;79.0;79;97.0;76.0;70;97.0;67.0;81;100.0;84.0
81;0260072M;11.0;64.0;18.0;11.0;100.0;18.0;7.0;100.0;71.0;46;100;89.0;40;100.0;65.0;57;100.0;82.0;61;100.0;80.0
82;0260113G;50.0;96.0;58.0;32.0;100.0;50.0;18.0;100.0;78.0;223;96;65.0;198;94.0;59.0;206;95.0;61.0;252;93.0;56.0
83;0270026G;97.0;90.0;46.0;108.0;87.0;37.0;89.0;98.0;69.0;287;97;66.0;278;92.0;51.0;294;95.0;47.0;295;95.0;53.0
84;0270029K;96.0;95.0;53.0;102.0;96.0;55.0;129.0;98.0;74.0;323;95;59.0;326;94.0;53.0;350;97.0;56.0;348;93.0;53.0
85;0271049U;32.0;94.0;34.0;33.0;94.0;45.0;23.0;96.0;61.0;64;98;59.0;56;91.0;59.0;47;98.0;53.0;53;96.0;47.0
86;0271431J;151.0;95.0;62.0;158.0;87.0;47.0;168.0;98.0;65.0;365;97;67.0;373;96.0;65.0;376;98.0;67.0;388;98.0;68.0
87;0271579V;131.0;89.0;46.0;123.0;88.0;57.0;126.0;98.0;64.0;416;95;60.0;391;95.0;55.0;409;94.0;56.0;381;96.0;59.0
88;0271634E;;;;;;;;;;20;100;80.0;20;90.0;55.0;;;;;;
89;0281047L;116.0;92.0;47.0;126.0;79.0;44.0;97.0;100.0;58.0;349;99;65.0;364;95.0;54.0;386;97.0;61.0;385;97.0;57.0
90;0290009C;101.0;92.0;66.0;102.0;95.0;60.0;81.0;100.0;74.0;171;100;81.0;157;97.0;64.0;168;99.0;68.0;168;98.0;65.0
91;0290034E;43.0;91.0;58.0;49.0;92.0;41.0;45.0;100.0;64.0;146;97;68.0;115;97.0;57.0;109;95.0;59.0;116;98.0;62.0
92;0290070U;;;;;;;;;;125;97;53.0;90;100.0;43.0;103;94.0;53.0;103;98.0;54.0
93;0290181P;63.0;95.0;56.0;52.0;96.0;65.0;56.0;96.0;71.0;138;98;72.0;141;97.0;49.0;138;98.0;55.0;156;99.0;71.0
94;0290198H;53.0;98.0;72.0;39.0;97.0;69.0;41.0;100.0;68.0;40;98;80.0;47;100.0;79.0;38;100.0;79.0;44;100.0;89.0
95;0291654R;43.0;100.0;74.0;40.0;98.0;80.0;48.0;100.0;92.0;138;100;79.0;151;100.0;70.0;134;99.0;73.0;124;98.0;65.0
96;0292047T;37.0;100.0;59.0;32.0;91.0;41.0;58.0;97.0;64.0;112;100;73.0;124;96.0;72.0;137;99.0;63.0;121;99.0;62.0
97;0292137R;63.0;94.0;70.0;48.0;96.0;75.0;49.0;100.0;88.0;100;100;79.0;92;97.0;71.0;83;98.0;65.0;88;98.0;81.0
98;0300021K;240.0;90.0;65.0;239.0;96.0;64.0;275.0;98.0;76.0;509;96;74.0;508;97.0;67.0;509;95.0;61.0;495;96.0;67.0
99;0300077W;80.0;94.0;65.0;85.0;99.0;60.0;79.0;99.0;86.0;167;99;84.0;173;98.0;80.0;166;99.0;66.0;183;98.0;72.0
100;0301552Z;170.0;86.0;36.0;154.0;77.0;28.0;158.0;97.0;62.0;366;92;67.0;416;92.0;57.0;365;94.0;55.0;396;96.0;63.0
101;0301722J;207.0;92.0;54.0;171.0;94.0;49.0;188.0;99.0;81.0;380;98;65.0;390;96.0;72.0;417;95.0;67.0;399;95.0;71.0
102;0310036W;194.0;98.0;79.0;177.0;96.0;73.0;210.0;98.0;70.0;280;99;83.0;301;97.0;80.0;297;99.0;85.0;279;97.0;79.0
103;0311132M;33.0;100.0;88.0;36.0;100.0;64.0;35.0;100.0;80.0;73;100;88.0;79;100.0;97.0;85;100.0;89.0;94;100.0;91.0
104;0311147D;58.0;98.0;67.0;73.0;97.0;58.0;65.0;100.0;77.0;311;99;65.0;283;98.0;58.0;295;99.0;75.0;309;99.0;75.0
105;0311902Z;167.0;92.0;57.0;167.0;89.0;46.0;169.0;99.0;78.0;458;98;69.0;419;94.0;57.0;426;93.0;55.0;473;93.0;50.0
106;0312289V;292.0;98.0;77.0;219.0;98.0;73.0;238.0;100.0;75.0;454;99;81.0;413;98.0;73.0;450;98.0;71.0;464;98.0;74.0
107;0320025D;36.0;97.0;72.0;48.0;98.0;71.0;47.0;100.0;57.0;96;99;73.0;75;97.0;73.0;86;95.0;62.0;96;98.0;51.0
108;0320067Z;55.0;96.0;56.0;45.0;100.0;49.0;46.0;98.0;70.0;159;97;68.0;163;97.0;66.0;180;98.0;67.0;150;99.0;63.0
109;0330018R;;;;;;;;;;46;98;63.0;37;84.0;32.0;49;92.0;53.0;48;88.0;50.0
110;0330023W;149.0;96.0;64.0;167.0;96.0;62.0;146.0;99.0;65.0;370;97;72.0;389;95.0;68.0;410;95.0;65.0;465;95.0;67.0
111;0330029C;41.0;88.0;34.0;27.0;67.0;37.0;33.0;100.0;64.0;194;92;58.0;198;85.0;40.0;197;90.0;50.0;185;92.0;49.0
112;0330115W;56.0;80.0;46.0;65.0;83.0;32.0;74.0;99.0;77.0;169;98;72.0;146;93.0;62.0;154;95.0;48.0;136;98.0;58.0
113;0331495W;117.0;98.0;71.0;136.0;100.0;70.0;122.0;99.0;89.0;373;100;94.0;386;99.0;82.0;370;99.0;82.0;381;98.0;82.0
114;0331499A;15.0;87.0;27.0;18.0;89.0;28.0;16.0;100.0;81.0;35;100;63.0;37;97.0;43.0;38;100.0;63.0;48;96.0;48.0
115;0331502D;98.0;99.0;80.0;106.0;99.0;67.0;109.0;99.0;76.0;222;100;82.0;238;99.0;82.0;242;98.0;79.0;239;100.0;87.0
116;0332192D;;;;;;;;;;80;98;58.0;76;99.0;49.0;50;92.0;48.0;76;99.0;57.0
117;0332831Y;211.0;98.0;70.0;182.0;97.0;70.0;247.0;100.0;76.0;456;99;67.0;469;97.0;68.0;497;97.0;66.0;492;98.0;68.0
118;0333273D;131.0;90.0;53.0;129.0;91.0;46.0;124.0;98.0;67.0;399;99;66.0;361;95.0;65.0;373;98.0;58.0;390;96.0;59.0
119;0340002T;101.0;88.0;50.0;124.0;93.0;43.0;117.0;100.0;85.0;328;98;66.0;325;96.0;59.0;328;96.0;55.0;318;96.0;53.0
120;0340028W;101.0;86.0;56.0;89.0;88.0;62.0;86.0;97.0;72.0;247;98;69.0;240;95.0;66.0;151;97.0;70.0;134;99.0;73.0
121;0340039H;169.0;88.0;46.0;159.0;89.0;48.0;104.0;97.0;66.0;329;94;60.0;311;90.0;59.0;304;94.0;56.0;290;97.0;60.0
122;0340040J;201.0;88.0;54.0;216.0;88.0;45.0;237.0;100.0;81.0;568;93;71.0;613;94.0;66.0;609;93.0;59.0;639;94.0;69.0
123;0341921D;198.0;98.0;73.0;193.0;97.0;70.0;190.0;99.0;79.0;380;97;74.0;405;94.0;68.0;363;97.0;69.0;415;98.0;76.0
124;0342090M;163.0;94.0;59.0;141.0;89.0;50.0;155.0;98.0;71.0;303;99;74.0;258;98.0;70.0;297;98.0;71.0;278;97.0;63.0
125;0350022J;81.0;96.0;62.0;60.0;98.0;52.0;74.0;100.0;74.0;229;98;55.0;233;94.0;52.0;237;95.0;53.0;207;94.0;63.0
126;0350042F;70.0;89.0;43.0;47.0;83.0;38.0;59.0;97.0;49.0;147;95;61.0;139;92.0;56.0;139;91.0;42.0;129;96.0;43.0
127;0350710G;141.0;99.0;77.0;133.0;96.0;76.0;150.0;100.0;88.0;267;99;85.0;282;99.0;83.0;217;98.0;84.0;218;99.0;83.0
128;0350769W;68.0;99.0;84.0;84.0;96.0;64.0;78.0;100.0;83.0;226;99;73.0;228;98.0;72.0;253;99.0;66.0;252;100.0;73.0
129;0350774B;92.0;95.0;70.0;87.0;99.0;66.0;91.0;100.0;86.0;292;100;84.0;311;99.0;65.0;273;100.0;65.0;307;100.0;79.0
130;0350801F;137.0;100.0;83.0;93.0;100.0;74.0;125.0;100.0;88.0;215;100;83.0;233;100.0;90.0;229;100.0;92.0;220;100.0;95.0
131;0352009U;133.0;94.0;61.0;138.0;91.0;58.0;134.0;97.0;73.0;376;97;66.0;353;95.0;62.0;381;92.0;52.0;320;93.0;60.0
132;0352341E;87.0;99.0;62.0;102.0;93.0;69.0;101.0;100.0;87.0;200;100;84.0;232;100.0;81.0;214;100.0;80.0;226;100.0;89.0
133;0352471W;52.0;98.0;42.0;39.0;97.0;54.0;52.0;100.0;65.0;84;100;67.0;113;100.0;64.0;104;99.0;71.0;115;98.0;66.0
134;0352533N;64.0;91.0;64.0;78.0;92.0;53.0;69.0;97.0;77.0;171;99;65.0;202;93.0;51.0;224;96.0;55.0;173;97.0;59.0
135;0360005K;39.0;100.0;72.0;33.0;97.0;58.0;33.0;100.0;73.0;58;100;78.0;66;94.0;65.0;74;97.0;57.0;83;98.0;54.0
136;0360693H;24.0;100.0;83.0;28.0;96.0;93.0;24.0;100.0;83.0;48;100;77.0;54;98.0;76.0;55;96.0;64.0;53;100.0;83.0
137;0370016S;100.0;93.0;59.0;115.0;93.0;46.0;109.0;100.0;81.0;278;97;71.0;267;97.0;68.0;271;93.0;65.0;274;96.0;61.0
138;0370039S;170.0;89.0;52.0;128.0;88.0;43.0;114.0;96.0;69.0;337;99;76.0;315;97.0;69.0;308;97.0;63.0;286;95.0;57.0
139;0370749N;14.0;93.0;36.0;9.0;100.0;44.0;12.0;100.0;42.0;52;100;77.0;55;98.0;82.0;51;94.0;61.0;77;100.0;62.0
140;0380081G;215.0;94.0;54.0;189.0;93.0;47.0;192.0;100.0;66.0;490;97;68.0;455;94.0;56.0;479;94.0;54.0;469;94.0;57.0
141;0380083J;37.0;95.0;81.0;39.0;100.0;85.0;45.0;100.0;71.0;189;97;68.0;174;95.0;70.0;177;97.0;73.0;190;96.0;68.0
142;0380097Z;81.0;95.0;75.0;76.0;96.0;70.0;57.0;100.0;81.0;96;100;72.0;132;98.0;79.0;111;95.0;68.0;119;99.0;78.0
143;0381660Y;38.0;100.0;87.0;49.0;100.0;84.0;44.0;100.0;75.0;93;100;88.0;115;100.0;77.0;115;99.0;80.0;109;98.0;72.0
144;0381678T;88.0;99.0;70.0;95.0;96.0;59.0;97.0;100.0;76.0;249;100;83.0;277;99.0;74.0;266;100.0;75.0;286;100.0;76.0
145;0382203N;100.0;96.0;69.0;126.0;98.0;72.0;139.0;98.0;68.0;259;97;69.0;274;98.0;72.0;258;95.0;71.0;301;95.0;65.0
146;0383069E;80.0;90.0;56.0;89.0;91.0;39.0;97.0;96.0;60.0;257;96;68.0;244;97.0;56.0;255;97.0;53.0;236;97.0;59.0
147;0383208F;77.0;99.0;78.0;84.0;99.0;74.0;103.0;100.0;91.0;278;100;85.0;269;99.0;80.0;260;100.0;78.0;271;100.0;80.0
148;0390013C;113.0;92.0;40.0;124.0;92.0;42.0;112.0;96.0;68.0;253;96;59.0;272;98.0;63.0;257;94.0;52.0;264;93.0;54.0
149;0390070P;29.0;90.0;34.0;25.0;88.0;72.0;30.0;100.0;57.0;50;100;74.0;38;100.0;74.0;46;98.0;57.0;34;97.0;74.0
150;0391146J;33.0;82.0;33.0;18.0;72.0;17.0;15.0;87.0;47.0;83;98;69.0;81;95.0;58.0;80;100.0;56.0;74;97.0;62.0
151;0400002K;82.0;89.0;55.0;75.0;96.0;51.0;65.0;97.0;71.0;155;90;52.0;156;95.0;60.0;180;98.0;69.0;163;99.0;64.0
152;0400007R;176.0;95.0;55.0;172.0;89.0;38.0;174.0;100.0;75.0;513;98;65.0;497;96.0;63.0;503;97.0;57.0;493;95.0;61.0
